scenario,split,region,tech,available_cf,dispatch_cf,curtailment_cf
base,100000,GB4 0AC,offwind-ac,0.6001263368277429,0.49116920138079173,0.10895713544695113
base,100000,GB1 0AC,offwind-float,0.5698495307327452,0.422722352403031,0.14712717832971423
base,100000,GB1 0AC,offwind-float,0.5681644634969553,0.41609969176736555,0.1520647717295897
base,100000,GB4 0AC,offwind-float,0.5767093234566315,0.4475341366456968,0.1291751868109347
base,100000,GB4 0AC,offwind-float,0.5929499785514185,0.42733670574053956,0.16561327281087895
base,100000,NL2 0AC,offwind-float,0.45268663068903936,0.25211765546112985,0.2005689752279095
base,100000,NO0 0AC,offwind-float,0.5560046511339667,0.4264538757088934,0.12955077542507326
base,100000,NO0 0AC,offwind-float,0.5829503540591671,0.40840231953834577,0.1745480345208213
base,100000,NO0 0AC,offwind-float,0.5675517113691178,0.34363444154175843,0.22391726982735932
base,100000,BE2 0AC,offwind-dc,0.5938659701081414,0.5616876447423186,0.03217832536582277
base,100000,DE2 0AC,offwind-dc,0.5837258025337415,0.5802670996403333,0.0034587028934082165
base,100000,DK2 0AC,offwind-dc,0.595548014150497,0.45529125365402034,0.14025676049647662
base,100000,FR2 0AC,offwind-dc,0.5826198774371905,0.459984792311352,0.12263508512583848
base,100000,GB1 0AC,offwind-dc,0.5781400728390718,0.372148950384347,0.20599112245472478
base,100000,NL2 0AC,offwind-dc,0.5788640904094802,0.5492462479237574,0.029617842485722745
standard,100000,GB1 0AC,offwind-float,0.5045954472152228,0.35896430343327024,0.14563114378195252
standard,100000,GB1 0AC,offwind-float,0.503096835452296,0.35295107726213293,0.15014575819016307
standard,100000,GB4 0AC,offwind-float,0.5106503702432255,0.3754321726854895,0.13521819755773595
standard,100000,GB4 0AC,offwind-float,0.5250378768452316,0.34896389949311735,0.17607397735211427
standard,100000,NL2 0AC,offwind-float,0.40083499669323225,0.21745154999235142,0.18338344670088083
standard,100000,NO0 0AC,offwind-float,0.4923292180145152,0.3638152577514036,0.12851396026311157
standard,100000,NO0 0AC,offwind-float,0.5161895915177819,0.34473755453447774,0.17145203698330413
standard,100000,NO0 0AC,offwind-float,0.502548044811583,0.2691149118360663,0.2334331329755167
standard,100000,BE2 0AC,offwind-dc,0.5258481023171301,0.40698889592260223,0.11885920639452785
standard,100000,DE2 0AC,offwind-dc,0.516889198143628,0.5103340306057301,0.006555167537897866
standard,100000,DK2 0AC,offwind-dc,0.527357766530265,0.3693562866418113,0.1580014798884537
standard,100000,FR2 0AC,offwind-dc,0.5158709366117518,0.3607804838413612,0.15509045277039057
standard,100000,GB1 0AC,offwind-dc,0.511943034498998,0.29893216586935417,0.21301086862964386
standard,100000,NL2 0AC,offwind-dc,0.5125712965537763,0.40770242253207906,0.10486887402169726
standard,100000,GB4 0AC,offwind-ac,0.5313741762097042,0.4337606133626735,0.09761356284703065
glaum,100000,GB4 0AC,offwind-float,0.5371997628007714,0.37884982749190454,0.15834993530886687
glaum,100000,NL2 0AC,offwind-float,0.4101146324156617,0.23996994753270925,0.17014468488295245
glaum,100000,BE2 0AC,offwind-dc,0.5380357715725339,0.46236908951070504,0.07566668206182886
glaum,100000,FR2 0AC,offwind-dc,0.5278276903587075,0.4030363090329232,0.12479138132578427
glaum,100000,GB4 0AC,offwind-ac,0.5436758934455019,0.453042325600872,0.09063356784462995
glaum,100000,NO0 0AC,offwind-float,0.5141824151318963,0.3095497000577766,0.20463271507411973
glaum,100000,NO0 0AC,offwind-float,0.44837472052219834,0.23093159393398982,0.21744312658820852
glaum,100000,GB1 0AC,offwind-float,0.5162772164618767,0.3149898258341723,0.20128739062770445
glaum,100000,GB1 0AC,offwind-float,0.45020756898415765,0.24286765833783377,0.20733991064632387
glaum,100000,GB1 0AC,offwind-float,0.3875967874037732,0.25950894032564326,0.12808784707812992
