scenario,split,region,tech,available_cf,dispatch_cf,curtailment_cf
base,1000,DE2 0AC,offwind-float,0.56333354893886,0.44042678152165277,0.12290676741720724
base,1000,DK2 0AC,offwind-float,0.5706332429944578,0.43399749099113466,0.13663575200332317
base,1000,DK2 0AC,offwind-float,0.5725659656410285,0.43467733591222324,0.13788862972880522
base,1000,DK2 0AC,offwind-float,0.5826272669631353,0.44421818279804054,0.13840908416509473
base,1000,DK2 0AC,offwind-float,0.5763929657152641,0.43784338503793824,0.13854958067732587
base,1000,DK2 0AC,offwind-float,0.614184245645173,0.48847712250188413,0.1257071231432889
base,1000,DK2 0AC,offwind-float,0.6174683301752854,0.4896507796971006,0.12781755047818477
base,1000,DK2 0AC,offwind-float,0.5885432302431801,0.46638508975335186,0.12215814048982826
base,1000,DK2 0AC,offwind-float,0.5776189739006662,0.45628116116892453,0.12133781273174166
base,1000,DK2 0AC,offwind-float,0.5687793122499509,0.44774527654613716,0.12103403570381377
base,1000,GB1 0AC,offwind-float,0.5050111519622376,0.3567023593765169,0.14830879258572066
base,1000,GB1 0AC,offwind-float,0.5814462107920512,0.44078098113181086,0.1406652296602403
base,1000,GB1 0AC,offwind-float,0.5307303742216576,0.38136575037606574,0.14936462384559185
base,1000,GB1 0AC,offwind-float,0.5689035982010479,0.4254102918077537,0.14349330639329416
base,1000,GB1 0AC,offwind-float,0.5148694249678997,0.3519971412003102,0.16287228376758944
base,1000,GB1 0AC,offwind-float,0.5490763946303112,0.399665390574445,0.14941100405586621
base,1000,GB1 0AC,offwind-float,0.5727101807261866,0.42813501467609216,0.14457516605009446
base,1000,GB1 0AC,offwind-float,0.5862619831514255,0.4474646936091443,0.1387972895422812
base,1000,GB1 0AC,offwind-float,0.5686214708074164,0.42075029519750234,0.14787117560991409
base,1000,GB1 0AC,offwind-float,0.5173318519863055,0.3660153415595881,0.1513165104267174
base,1000,GB1 0AC,offwind-float,0.5836626529262292,0.44292630824434104,0.14073634468188817
base,1000,GB1 0AC,offwind-float,0.5589289213154945,0.40571628348722566,0.15321263782826888
base,1000,GB1 0AC,offwind-float,0.5863482643627881,0.4469248404964505,0.1394234238663376
base,1000,GB1 0AC,offwind-float,0.5561314802546289,0.4032092478875363,0.15292223236709257
base,1000,GB1 0AC,offwind-float,0.5796019721612866,0.4347801654606549,0.14482180670063172
base,1000,GB1 0AC,offwind-float,0.5669437052326787,0.4163688786167861,0.15057482661589255
base,1000,GB1 0AC,offwind-float,0.5402180294202843,0.3766711410023974,0.1635468884178869
base,1000,GB1 0AC,offwind-float,0.5744661855847544,0.4272639802093405,0.1472022053754139
base,1000,GB1 0AC,offwind-float,0.5721016072803742,0.4191070316935979,0.15299457558677626
base,1000,GB1 0AC,offwind-float,0.557389687178456,0.3957150374708783,0.16167464970757778
base,1000,GB1 0AC,offwind-float,0.5371215491445258,0.37369676320421685,0.16342478594030896
base,1000,GB1 0AC,offwind-float,0.5668664227204713,0.41369804462653703,0.15316837809393424
base,1000,GB1 0AC,offwind-float,0.5805475259818682,0.43801685839870147,0.14253066758316674
base,1000,GB1 0AC,offwind-float,0.5808016176754124,0.43778206241815,0.1430195552572624
base,1000,GB1 0AC,offwind-float,0.5789718456064911,0.4221692162210371,0.15680262938545397
base,1000,GB1 0AC,offwind-float,0.5764316014275205,0.4227153187051888,0.15371628272233168
base,1000,GB1 0AC,offwind-float,0.5746333949780789,0.42430467645671244,0.15032871852136642
base,1000,GB1 0AC,offwind-float,0.5787041563546496,0.41992080576541085,0.1587833505892387
base,1000,GB1 0AC,offwind-float,0.5680987076676883,0.4071823341538985,0.16091637351378985
base,1000,GB1 0AC,offwind-float,0.5040792864917556,0.33876320164254126,0.16531608484921434
base,1000,GB1 0AC,offwind-float,0.5836967595856678,0.42609504237822776,0.15760171720744004
base,1000,GB1 0AC,offwind-float,0.5755579765811949,0.4293500377667095,0.1462079388144854
base,1000,GB1 0AC,offwind-float,0.5753304841767141,0.42300075050145575,0.15232973367525832
base,1000,GB1 0AC,offwind-float,0.5404589831088898,0.3769362642597219,0.16352271884916797
base,1000,GB1 0AC,offwind-float,0.5748320899864026,0.4301052423973937,0.1447268475890089
base,1000,GB1 0AC,offwind-float,0.577269888145342,0.4333047489621154,0.14396513918322656
base,1000,GB1 0AC,offwind-float,0.5379552145583171,0.3718133027109091,0.16614191184740795
base,1000,GB1 0AC,offwind-float,0.5798719657707213,0.4264210809988108,0.1534508847719105
base,1000,GB1 0AC,offwind-float,0.5735153448913073,0.4244456166598784,0.1490697282314289
base,1000,GB1 0AC,offwind-float,0.5557099233257937,0.3906309062659756,0.16507901705981814
base,1000,GB1 0AC,offwind-float,0.5774830341668786,0.4174340779981782,0.1600489561687004
base,1000,GB1 0AC,offwind-float,0.5781529262458185,0.4246337912165404,0.1535191350292781
base,1000,GB1 0AC,offwind-float,0.5420262781432817,0.3750046015867806,0.16702167655650113
base,1000,GB1 0AC,offwind-float,0.568955665854349,0.4058574357636456,0.1630982300907034
base,1000,GB1 0AC,offwind-float,0.5562746014799854,0.3903225217555457,0.1659520797244397
base,1000,GB1 0AC,offwind-float,0.574699276309518,0.4215217218688278,0.1531775544406902
