scenario,split,density_mw_per_km2,wake_loss
new_more,1000,0.005948167460883108,0.11144776173520789
new_more,1000,0.014361029335940896,0.11144776173520789
new_more,1000,0.00491062960302577,0.11144776173520789
new_more,1000,0.018730780652246107,0.11144776173520789
new_more,1000,0.011845370430371663,0.11144776173520789
new_more,1000,0.011847873664566851,0.11144776173520789
new_more,1000,0.024366786623208875,0.11144776173520789
new_more,1000,0.01634485945466147,0.11144776173520789
new_more,1000,0.031184609693478953,0.11144776173520789
new_more,1000,0.03075184100897681,0.11144776173520789
new_more,1000,0.008976943643542101,0.11144776173520789
new_more,1000,0.0014718002676409464,0.11144776173520789
new_more,1000,0.005613389723597884,0.11144776173520789
new_more,1000,0.014175807335141313,0.11144776173520789
new_more,1000,0.007008395490243597,0.11144776173520789
new_more,1000,0.008559653217943667,0.11144776173520789
new_more,1000,0.008307726730336362,0.11144776173520789
new_more,1000,0.0065337961307764284,0.11144776173520789
new_more,1000,0.006648498940038046,0.11144776173520789
new_more,1000,0.007907601367698303,0.11144776173520789
new_more,1000,0.021246972101760925,0.11144776173520789
new_more,1000,0.003820943164992174,0.11144776173520789
new_more,1000,0.0042540110779623,0.11144776173520789
new_more,1000,0.012064502271560374,0.11144776173520789
new_more,1000,0.006053833008668586,0.11144776173520789
new_more,1000,0.004623517017745994,0.11144776173520789
new_more,1000,0.0053212437598739995,0.11144776173520789
new_more,1000,0.007991228959497056,0.11144776173520789
new_more,1000,0.03217768555438475,0.11144776173520789
new_more,1000,0.037025699999999995,0.11144776173520789
new_more,1000,0.0013163021730352574,0.1536796798077802
new_more,1000,0.0370257,0.11144776173520789
new_more,1000,0.08997979171266558,0.1536796798077802
new_more,1000,0.0370257,0.11144776173520789
new_more,1000,0.14333752252624865,0.1536796798077802
new_more,1000,0.0370257,0.11144776173520789
new_more,1000,0.05721270277276259,0.1536796798077802
new_more,1000,0.0370257,0.11144776173520789
new_more,1000,0.37057066358117446,0.1536796798077802
new_more,1000,0.0370257,0.11144776173520789
new_more,1000,0.014107672323044738,0.1536796798077802
new_more,1000,0.0370257,0.11144776173520789
new_more,1000,0.19534846208285947,0.1536796798077802
new_more,1000,0.0370257,0.11144776173520789
new_more,1000,0.5295865986837256,0.1536796798077802
new_more,1000,0.0370257,0.11144776173520789
new_more,1000,0.20010518766362262,0.1536796798077802
new_more,1000,0.0370257,0.11144776173520789
new_more,1000,0.17764119293510416,0.1536796798077802
new_more,1000,0.0370257,0.11144776173520789
new_more,1000,0.4687711105774649,0.1536796798077802
new_more,1000,0.0370257,0.11144776173520789
new_more,1000,0.6055854892351512,0.1536796798077802
new_more,1000,0.0370257,0.11144776173520789
new_more,1000,0.3645429899677428,0.1536796798077802
new_more,1000,0.0370257,0.11144776173520789
new_more,1000,0.3912407845515578,0.1536796798077802
new_more,1000,0.0370257,0.11144776173520789
new_more,1000,0.13247968985233993,0.1536796798077802
new_more,1000,0.0370257,0.11144776173520789
