scenario,split_km2,offshore_capacity_gw,n_offshore_buses,total_cost_beur,mean_wake_loss
base,1000,100.931,8,53.68897510496431,0.0
base,10000,100.93099999999997,8,54.16182378928831,0.0
base,100000,100.931,8,58.142740930462196,0.0
standard,1000,100.93100000000003,8,55.81014596217722,0.11450000000000002
standard,10000,100.93100548235402,8,56.26756411553512,0.11450000000000006
standard,100000,100.931,8,60.181734262979745,0.11450000000000007
glaum,1000,100.93100038833377,8,55.425593223612495,2.640896317614298e-08
glaum,10000,100.93100000000027,8,57.007134522062984,0.06172373503824922
glaum,100000,100.93100567625416,8,62.50150388066134,0.15390132300284814
new_more,1000,100.93100000000491,8,56.57206716745192,0.15224301372263138
new_more,10000,100.93099999999995,8,56.979868266947285,0.15054547986949235
new_more,100000,100.931,8,60.79946445368973,0.14741742675986208
