scenario,split,region,tech,available_cf,dispatch_cf,curtailment_cf
base,1000,BE2 0AC,offwind-ac,0.5653459630680616,0.4933658596861586,0.07198010338190303
base,1000,BE2 0AC,offwind-ac,0.559247683762009,0.461048642050209,0.09819904171179994
base,1000,DE2 0AC,offwind-ac,0.5859192962606986,0.5539901996973736,0.03192909656332499
base,1000,DE2 0AC,offwind-ac,0.5140499122331237,0.42377702632056613,0.09027288591255755
base,1000,DE2 0AC,offwind-ac,0.5456704752223352,0.47968588680431434,0.0659845884180209
base,1000,DE2 0AC,offwind-ac,0.5708924391167546,0.5381101191721843,0.03278231994457026
base,1000,DE2 0AC,offwind-ac,0.5533558145105723,0.5024726809361683,0.050883133574403994
base,1000,DE2 0AC,offwind-ac,0.5179410318659354,0.43011683120309585,0.08782420066283958
base,1000,DE2 0AC,offwind-ac,0.4336388821903812,0.33000883667198844,0.10363004551839278
base,1000,DE2 0AC,offwind-ac,0.5245364832059656,0.4419887577385931,0.08254772546737249
base,1000,DK2 0AC,offwind-ac,0.5654687031801501,0.41847211639728904,0.14699658678286104
base,1000,DK2 0AC,offwind-ac,0.583110996732168,0.44595843855903106,0.13715255817313698
base,1000,DK2 0AC,offwind-ac,0.589025367802504,0.4605431396400615,0.12848222816244254
base,1000,DK2 0AC,offwind-ac,0.5660664267369808,0.4390178164115275,0.12704861032545334
base,1000,DK2 0AC,offwind-ac,0.5591336307661723,0.43215986662482353,0.12697376414134875
base,1000,DK2 0AC,offwind-ac,0.5768883016912545,0.44130238732099314,0.13558591437026135
base,1000,DK2 0AC,offwind-ac,0.5156049422771894,0.37173932436648127,0.14386561791070818
base,1000,DK2 0AC,offwind-ac,0.5711108708576357,0.4335262074357647,0.13758466342187098
base,1000,DK2 0AC,offwind-ac,0.510357511199973,0.36512594707592433,0.14523156412404864
base,1000,DK2 0AC,offwind-ac,0.5687235839349314,0.42573354596923874,0.14299003796569265
base,1000,DK2 0AC,offwind-ac,0.472485427692225,0.3206804259535881,0.15180500173863692
base,1000,DK2 0AC,offwind-ac,0.5567564046246687,0.42674492016023563,0.13001148446443306
base,1000,DK2 0AC,offwind-ac,0.5606789237823334,0.4353139784840619,0.12536494529827152
base,1000,DK2 0AC,offwind-ac,0.5085285788574401,0.36283169383718744,0.14569688502025263
base,1000,DK2 0AC,offwind-ac,0.5637147872630014,0.4390383002543585,0.12467648700864287
base,1000,DK2 0AC,offwind-ac,0.5670348402636508,0.4509424284989886,0.11609241176466223
base,1000,DK2 0AC,offwind-ac,0.5162291784560787,0.3824828199597439,0.13374635849633482
base,1000,GB1 0AC,offwind-ac,0.3624975739072199,0.2497694808700275,0.11272809303719242
base,1000,GB1 0AC,offwind-ac,0.39263981130818415,0.2571667935272555,0.13547301778092863
base,1000,GB1 0AC,offwind-ac,0.4511855532921738,0.33871507638306647,0.11247047690910733
base,1000,GB1 0AC,offwind-ac,0.5366986933796255,0.48049559294197913,0.05620310043764637
base,1000,GB1 0AC,offwind-ac,0.45283754718472097,0.31444781814229017,0.1383897290424308
base,1000,GB1 0AC,offwind-ac,0.4845248591108663,0.36446277174781794,0.12006208736304835
base,1000,GB1 0AC,offwind-ac,0.43053613763718673,0.29947042068749646,0.13106571694969027
base,1000,GB1 0AC,offwind-ac,0.4894270655509872,0.3622907903119485,0.1271362752390387
base,1000,GB1 0AC,offwind-ac,0.4720335650277757,0.35633222271018045,0.11570134231759527
base,1000,GB1 0AC,offwind-ac,0.4462019607837784,0.3040124927317497,0.1421894680520287
base,1000,GB1 0AC,offwind-ac,0.4986105900197557,0.35680739928650634,0.14180319073324937
base,1000,GB1 0AC,offwind-ac,0.5113309174469743,0.3577031089453844,0.15362780850158997
base,1000,GB1 0AC,offwind-ac,0.5203761656736913,0.3715836870469515,0.14879247862673978
base,1000,GB1 0AC,offwind-ac,0.5089325418953203,0.3653190035866233,0.14361353830869705
base,1000,GB1 0AC,offwind-ac,0.46618338765391776,0.3224848637721934,0.14369852388172438
base,1000,GB1 0AC,offwind-ac,0.5207033782038548,0.3759475385911919,0.14475583961266292
base,1000,GB1 0AC,offwind-ac,0.4714116183551392,0.32767344023400663,0.14373817812113254
base,1000,GB1 0AC,offwind-ac,0.41940501221936816,0.27287384624895594,0.1465311659704122
