scenario,split,wake_loss
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
base,1000,0.0
standard,1000,0.10280839264283848
standard,1000,0.12625826048957545
standard,1000,0.08905860484409944
standard,1000,0.09237961507154124
standard,1000,0.1190777151568323
standard,1000,0.08132801905480813
standard,1000,0.10832011442357559
standard,1000,0.11806944932158858
standard,1000,0.120538981696377
standard,1000,0.12186076328819495
standard,1000,0.08792286048343811
standard,1000,0.11901762408835292
standard,1000,0.07875129453993357
standard,1000,0.09186322001242642
standard,1000,0.1041556275266955
standard,1000,0.0965926262767477
standard,1000,0.11606562776400209
standard,1000,0.10596659260148134
standard,1000,0.12059312973401193
standard,1000,0.08770405375975387
standard,1000,0.09916110886396123
standard,1000,0.12185692783370627
