scenario,split,density_mw_per_km2,wake_loss
base,1000,0.3040735717901503,0.0
base,1000,0.10582116388845832,0.0
base,1000,0.7664279795519479,0.0
base,1000,1.1185352674578475,0.0
base,1000,2.078359868771556,0.0
base,1000,0.1969338549437576,0.0
base,1000,1.4061797555247377,0.0
base,1000,1.690314529975273,0.0
base,1000,1.2826523805616836,0.0
base,1000,0.0038230213022220167,0.0
base,1000,0.7844443711933466,0.0
base,1000,1.96767961228624,0.0
base,1000,0.4767878133401417,0.0
base,1000,0.6039111685827634,0.0
base,1000,2.8691419778587828,0.0
base,1000,2.6427612378511753,0.0
base,1000,3.2286815823237514,0.0
base,1000,2.9217123295470193,0.0
base,1000,3.478935285749235,0.0
base,1000,1.2315814804550325,0.0
base,1000,2.678867187393882,0.0
base,1000,2.3295289856194783,0.0
base,1000,0.4733345189286736,0.0
base,1000,2.9987464990038073,0.0
base,1000,1.8547776938524212,0.0
base,1000,3.541609436802907,0.0
base,1000,0.20877130577669903,0.0
base,1000,3.0977850213025895,0.0
base,1000,3.2888951960319868,0.0
base,1000,3.4049925093892575,0.0
base,1000,3.108005870468198,0.0
base,1000,0.4714796150499132,0.0
base,1000,3.0995723791367946,0.0
base,1000,3.5896452543359834,0.0
base,1000,2.804611294356145,0.0
base,1000,2.175996731462657,0.0
base,1000,1.6092160592146274,0.0
base,1000,3.454386534270807,0.0
base,1000,3.3036265166585848,0.0
base,1000,3.3341422101205156,0.0
base,1000,2.562206468519632,0.0
base,1000,0.564565159353198,0.0
base,1000,2.2470965677967643,0.0
base,1000,2.5988585052567803,0.0
base,1000,2.843793349281539,0.0
base,1000,1.1919558610261378,0.0
base,1000,2.4340088936967703,0.0
base,1000,1.5602815929808964,0.0
base,1000,0.670890412990666,0.0
base,1000,0.7459655847276367,0.0
base,1000,1.457297434650458,0.0
base,1000,0.5708065240334697,0.0
base,1000,1.7228055132650053,0.0
base,1000,2.358339020910263,0.0
base,1000,2.2570659985973536,0.0
base,1000,1.2409924740949967,0.0
base,1000,0.1877035682347649,0.0
base,1000,1.0480856388207191,0.0
