,,2030,2030
,,min,max
country,carrier,,
BE,offwind-all,6.0,
DK,offwind-all,10.0,
DE,offwind-all,30.0,
NL,offwind-all,21.0,
NO,offwind-all,3.0,
GB,offwind-all,40.0,
FR,offwind-all,2.0,
