scenario,split,region,wake_loss,weight
base,1000,DE2 0AC_00035 0 offwind-float,0.0,4.3481984362158295e-12
base,1000,DK2 0AC_00000 0 offwind-float,0.0,4.557041954333929e-12
base,1000,DK2 0AC_00003 0 offwind-float,0.0,4.518835423865677e-12
base,1000,DK2 0AC_00004 0 offwind-float,0.0,4.6490906969303925e-12
base,1000,DK2 0AC_00005 0 offwind-float,0.0,4.541292461646063e-12
base,1000,DK2 0AC_00011 0 offwind-float,0.0,5.339654993796403e-12
base,1000,DK2 0AC_00042 0 offwind-float,0.0,5.283858574300663e-12
base,1000,DK2 0AC_00061 0 offwind-float,0.0,5.246808689735734e-12
base,1000,DK2 0AC_00062 0 offwind-float,0.0,5.275431521307417e-12
base,1000,DK2 0AC_00063 0 offwind-float,0.0,5.164726602601689e-12
base,1000,GB1 0AC_00001 0 offwind-float,0.0,5.382779309529098e-12
base,1000,GB1 0AC_00006 0 offwind-float,0.0,7.298801833408193e-12
base,1000,GB1 0AC_00008 0 offwind-float,0.0,5.8607052742810755e-12
base,1000,GB1 0AC_00010 0 offwind-float,0.0,6.822254086218233e-12
base,1000,GB1 0AC_00015 0 offwind-float,0.0,4.916348480175134e-12
base,1000,GB1 0AC_00016 0 offwind-float,0.0,6.203517375221129e-12
base,1000,GB1 0AC_00017 0 offwind-float,0.0,7.0221842948164334e-12
base,1000,GB1 0AC_00018 0 offwind-float,0.0,7.78076529398564e-12
base,1000,GB1 0AC_00021 0 offwind-float,0.0,6.678416414282904e-12
base,1000,GB1 0AC_00022 0 offwind-float,0.0,5.432340556306665e-12
base,1000,GB1 0AC_00023 0 offwind-float,0.0,7.585139316122537e-12
base,1000,GB1 0AC_00025 0 offwind-float,0.0,5.9816497065498284e-12
base,1000,GB1 0AC_00029 0 offwind-float,0.0,7.556257276429718e-12
base,1000,GB1 0AC_00030 0 offwind-float,0.0,6.0918213990987695e-12
base,1000,GB1 0AC_00031 0 offwind-float,0.0,7.140455478911557e-12
base,1000,GB1 0AC_00032 0 offwind-float,0.0,6.536732611612736e-12
base,1000,GB1 0AC_00034 0 offwind-float,0.0,5.424135143576658e-12
base,1000,GB1 0AC_00035 0 offwind-float,0.0,6.7071583744662316e-12
base,1000,GB1 0AC_00036 0 offwind-float,0.0,6.2798290673682925e-12
base,1000,GB1 0AC_00038 0 offwind-float,0.0,5.7399931792923245e-12
base,1000,GB1 0AC_00039 0 offwind-float,0.0,5.43867155951047e-12
base,1000,GB1 0AC_00040 0 offwind-float,0.0,6.3398112652414774e-12
base,1000,GB1 0AC_00041 0 offwind-float,0.0,7.182797927618493e-12
base,1000,GB1 0AC_00042 0 offwind-float,0.0,7.25819513633414e-12
base,1000,GB1 0AC_00043 0 offwind-float,0.0,6.2890675413468e-12
base,1000,GB1 0AC_00047 0 offwind-float,0.0,6.349497456988764e-12
base,1000,GB1 0AC_00048 0 offwind-float,0.0,6.593013347400681e-12
base,1000,GB1 0AC_00049 0 offwind-float,0.0,6.157929306887213e-12
base,1000,GB1 0AC_00050 0 offwind-float,0.0,5.8617582423470656e-12
base,1000,GB1 0AC_00051 0 offwind-float,0.0,4.713358626741833e-12
base,1000,GB1 0AC_00052 0 offwind-float,0.0,6.287049338527393e-12
base,1000,GB1 0AC_00053 0 offwind-float,0.0,6.77625980167454e-12
base,1000,GB1 0AC_00054 0 offwind-float,0.0,6.4335823562124446e-12
base,1000,GB1 0AC_00055 0 offwind-float,0.0,5.4855802813383796e-12
base,1000,GB1 0AC_00056 0 offwind-float,0.0,6.910310709549259e-12
base,1000,GB1 0AC_00057 0 offwind-float,0.0,7.013136960294758e-12
base,1000,GB1 0AC_00062 0 offwind-float,0.0,5.226884345057248e-12
base,1000,GB1 0AC_00063 0 offwind-float,0.0,6.409506688418535e-12
base,1000,GB1 0AC_00064 0 offwind-float,0.0,6.500407808645366e-12
base,1000,GB1 0AC_00065 0 offwind-float,0.0,5.780500613410867e-12
base,1000,GB1 0AC_00066 0 offwind-float,0.0,6.052662912669525e-12
base,1000,GB1 0AC_00067 0 offwind-float,0.0,6.351665355913561e-12
base,1000,GB1 0AC_00068 0 offwind-float,0.0,5.259269210546255e-12
base,1000,GB1 0AC_00069 0 offwind-float,0.0,5.81928217943608e-12
base,1000,GB1 0AC_00070 0 offwind-float,0.0,5.588017296806039e-12
base,1000,GB1 0AC_00071 0 offwind-float,0.0,6.369383466878583e-12
base,1000,GB1 0AC_00072 0 offwind-float,0.0,6.190342914969864e-12
base,1000,GB1 0AC_00073 0 offwind-float,0.0,6.813531892627093e-12
base,1000,GB1 0AC_00074 0 offwind-float,0.0,6.078969314960593e-12
base,1000,GB1 0AC_00075 0 offwind-float,0.0,5.730773744921075e-12
base,1000,GB1 0AC_00076 0 offwind-float,0.0,6.78392088764244e-12
base,1000,GB1 0AC_00077 0 offwind-float,0.0,5.967299374874169e-12
base,1000,GB1 0AC_00078 0 offwind-float,0.0,6.2418329389066775e-12
base,1000,GB1 0AC_00079 0 offwind-float,0.0,5.590190259723982e-12
base,1000,GB1 0AC_00080 0 offwind-float,0.0,6.4607772319192954e-12
base,1000,GB1 0AC_00081 0 offwind-float,0.0,6.114923985881399e-12
base,1000,GB1 0AC_00082 0 offwind-float,0.0,6.324369934387088e-12
base,1000,GB1 0AC_00083 0 offwind-float,0.0,5.482857424059845e-12
base,1000,GB1 0AC_00084 0 offwind-float,0.0,5.564508603887347e-12
base,1000,GB1 0AC_00085 0 offwind-float,0.0,6.47960328731855e-12
base,1000,GB1 0AC_00086 0 offwind-float,0.0,6.787402289532748e-12
base,1000,GB1 0AC_00087 0 offwind-float,0.0,6.579661233182407e-12
base,1000,GB1 0AC_00088 0 offwind-float,0.0,6.155635110580549e-12
base,1000,GB1 0AC_00089 0 offwind-float,0.0,5.780745268364681e-12
base,1000,GB1 0AC_00098 0 offwind-float,0.0,5.96097145256253e-12
base,1000,GB1 0AC_00099 0 offwind-float,0.0,6.2142586777551535e-12
base,1000,GB1 0AC_00101 0 offwind-float,0.0,5.8349964759640124e-12
base,1000,GB1 0AC_00102 0 offwind-float,0.0,6.272401121390388e-12
