scenario,split,total_cost_eur,offshore_capacity_gw,line_volume_ac,line_volume_dc,transmission_capacity_gw,curtailment_mwh,curtailment_twh
base,1000,54019959087.6443,100.93100000000001,48.52316346465649,18.06875704354539,66.59192050820188,466341.03870525985,0.46634103870525984
standard,1000,56108319654.4767,100.93100000000751,48.75309259690049,17.940000000005366,66.69309259690586,231987.99989945028,0.2319879998994503
glaum,1000,55731857809.10034,100.9310049492572,48.64767212455643,17.94000437451177,66.5876764990682,275269.23888620007,0.2752692388862001
new_more,1000,56855831030.00264,100.93100402111173,48.82103676161536,17.94000133320866,66.76103809482402,167115.05984810562,0.16711505984810562
base,10000,54529121832.93656,100.93100000001877,48.698733111435985,18.10486552188855,66.80359863332453,560604.3568265567,0.5606043568265567
standard,10000,56584707799.61717,100.93100000000001,48.88265034496096,17.94,66.82265034496096,198113.97105599672,0.1981139710559967
glaum,10000,57300890116.685814,100.9310000000021,48.85704403439801,17.940000000008105,66.79704403440611,117018.58900206756,0.11701858900206756
new_more,10000,57274954068.805466,100.93099999999998,48.934021388857246,17.94,66.87402138885724,141063.5412827155,0.1410635412827155
base,100000,58505292712.50172,100.93100000000001,48.80987931044835,18.131807516617496,66.94168682706585,650898.4591362767,0.6508984591362768
standard,100000,60505354915.113655,100.931,48.72380951411146,17.969123291855475,66.69293280596693,233596.88399524643,0.23359688399524645
glaum,100000,62776906609.38547,100.93100087654294,49.393740910899304,17.940011346397075,67.33375225729638,61360.492580585065,0.06136049258058507
new_more,100000,61109764178.570045,100.93099999999998,48.77914001547608,17.940000000000005,66.71914001547607,180002.80909811746,0.18000280909811747
