scenario,split,region,tech,available_cf,dispatch_cf,curtailment_cf
standard,100000,DE2 0AC,offwind-dc,0.5169333260996443,0.5169333260996428,1.4432899320127035e-15
standard,100000,DK2 0AC,offwind-dc,0.527388073077709,0.525788866997209,0.0015992060805000152
standard,100000,FR2 0AC,offwind-dc,0.5159845681192898,0.5159845681190909,1.9895196601282805e-13
standard,100000,GB1 0AC,offwind-dc,0.5119616684781092,0.5043385418746058,0.007623126603503394
standard,100000,NL2 0AC,offwind-dc,0.5125989463807861,0.5125458546348816,5.3091745904509935e-05
standard,100000,GB4 0AC,offwind-ac,0.5313939935513334,0.4931377717448358,0.038256221806497626
glaum,100000,GB4 0AC,offwind-float,0.5372187782977086,0.46188374340510296,0.07533503489260562
glaum,100000,NL2 0AC,offwind-float,0.4101930425846829,0.33447302901198706,0.07572001357269587
glaum,100000,GB4 0AC,offwind-ac,0.5436961695736965,0.5385071727322337,0.00518899684146279
glaum,100000,BE2 0AC,offwind-dc,0.5380823118385522,0.5380822578853216,5.395323054990797e-08
glaum,100000,FR2 0AC,offwind-dc,0.5279300041965856,0.5279296713391689,3.328574167404952e-07
glaum,100000,NO0 0AC,offwind-float,0.5142417211985653,0.5142416767026904,4.449587487354023e-08
glaum,100000,NO0 0AC,offwind-float,0.448432562563277,0.4041482865911123,0.04428427597216472
glaum,100000,GB1 0AC,offwind-float,0.5163177718067077,0.4520302728219505,0.06428749898475716
glaum,100000,GB1 0AC,offwind-float,0.45024293433173357,0.3709022315517568,0.07934070277997679
glaum,100000,GB1 0AC,offwind-float,0.38762087476108004,0.27718175426980796,0.11043912049127208
glaum,100000,GB1 0AC,offwind-float,0.5147872592803178,0.4411461824809353,0.07364107679938248
glaum,100000,GB1 0AC,offwind-float,0.4489082863909859,0.3647231940170839,0.08418509237390198
glaum,100000,GB1 0AC,offwind-float,0.3864972496746423,0.27887319945557804,0.10762405021906424
glaum,100000,GB4 0AC,offwind-float,0.5224932372397829,0.4604072939069577,0.06208594333282519
glaum,100000,GB4 0AC,offwind-float,0.4556030957662445,0.38230821981394053,0.073294875952304
glaum,100000,GB4 0AC,offwind-float,0.3922612898785692,0.27456951920271677,0.1176917706758524
glaum,100000,NO0 0AC,offwind-float,0.5037545211191351,0.4960743856927954,0.007680135426339718
glaum,100000,NO0 0AC,offwind-float,0.4392874430370518,0.39176735343116165,0.04752008960589016
glaum,100000,NO0 0AC,offwind-float,0.37821397754852387,0.2958256707827343,0.08238830676578957
glaum,100000,NO0 0AC,offwind-float,0.5281762699431711,0.5281762475602805,2.2382890652039578e-08
glaum,100000,NO0 0AC,offwind-float,0.46058386251447964,0.42210567049558223,0.038478192018897406
glaum,100000,NO0 0AC,offwind-float,0.3965249313311562,0.3221135575981002,0.07441137373305601
glaum,100000,DE2 0AC,offwind-dc,0.5289007266474056,0.5289007019397871,2.4707618506703e-08
glaum,100000,DE2 0AC,offwind-dc,0.46121560817601187,0.4612156022155164,5.96049548606814e-09
glaum,100000,DE2 0AC,offwind-dc,0.3970696555197522,0.39706964972193076,5.79782144516372e-09
glaum,100000,DK2 0AC,offwind-dc,0.5395975089874696,0.5375182574356362,0.0020792515518334165
glaum,100000,DK2 0AC,offwind-dc,0.4705434890503144,0.46976672318936735,0.0007767658609470485
glaum,100000,DK2 0AC,offwind-dc,0.40509968775869726,0.34066676820031605,0.06443291955838121
glaum,100000,GB1 0AC,offwind-dc,0.5238139713621309,0.5217148831476274,0.0020990882145035528
glaum,100000,GB1 0AC,offwind-dc,0.4567798212422107,0.4559205418140305,0.0008592794281802041
glaum,100000,GB1 0AC,offwind-dc,0.39327441700023436,0.39277394117078424,0.0005004758294501199
glaum,100000,NL2 0AC,offwind-dc,0.5244660027340398,0.5242654936928177,0.00020050904122204116
glaum,100000,NL2 0AC,offwind-dc,0.45734841007295596,0.45728939529402146,5.901477893449636e-05
glaum,100000,NL2 0AC,offwind-dc,0.39376395579009627,0.3936446265442173,0.00011932924587898519
new_more,100000,NL2 0AC,offwind-float,0.4022935387519484,0.2834458321431962,0.11884770660875221
new_more,100000,BE2 0AC,offwind-dc,0.5277199145196902,0.5277199145196828,7.438494264988549e-15
new_more,100000,BE2 0AC,offwind-dc,0.5026379629635467,0.5026379629635447,1.9984014443252818e-15
new_more,100000,FR2 0AC,offwind-dc,0.5177631201722045,0.5177631201721818,2.2648549702353193e-14
new_more,100000,FR2 0AC,offwind-dc,0.49315440418403345,0.49315440418402545,7.993605777301127e-15
new_more,100000,NO0 0AC,offwind-float,0.5043384463356781,0.5043384463356768,1.3322676295501878e-15
new_more,100000,NO0 0AC,offwind-float,0.4803677904425695,0.46683389759201144,0.01353389285055806
new_more,100000,DE2 0AC,offwind-dc,0.51871514843535,0.5187151484353473,2.7755575615628914e-15
new_more,100000,DE2 0AC,offwind-dc,0.494061183582925,0.4940611835829248,2.220446049250313e-16
new_more,100000,DE2 0AC,offwind-dc,0.4889907185737256,0.4839330922362329,0.005057626337492738
new_more,100000,DK2 0AC,offwind-dc,0.5292059319789432,0.526975725287156,0.0022302066917871954
new_more,100000,DK2 0AC,offwind-dc,0.504053351634878,0.5027579167381742,0.0012954348967038065
new_more,100000,DK2 0AC,offwind-dc,0.49888033872238857,0.47302268798714875,0.025857650735239823
new_more,100000,GB1 0AC,offwind-dc,0.5137263539604758,0.49928085903211933,0.014445494928356506
