scenario,split,density_mw_per_km2,wake_loss
new_more,10000,0.01784796236727204,0.11144776173520789
new_more,10000,0.018212772819589364,0.11144776173520789
new_more,10000,0.028808809668151372,0.11144776173520789
new_more,10000,0.032696556887982585,0.11144776173520789
new_more,10000,0.01803396776477667,0.11144776173520789
new_more,10000,0.006393715069774585,0.11144776173520789
new_more,10000,0.0035660546509443335,0.11144776173520789
new_more,10000,0.015953197341778632,0.11144776173520789
new_more,10000,0.018362977208221793,0.11144776173520789
new_more,10000,0.0224940460434659,0.11144776173520789
new_more,10000,0.01819106469127957,0.11144776173520789
new_more,10000,0.011035316954108637,0.11144776173520789
new_more,10000,0.011565954725528923,0.11144776173520789
new_more,10000,0.008665747804604506,0.11144776173520789
new_more,10000,0.010762648129907914,0.11144776173520789
new_more,10000,0.005723204849856744,0.11144776173520789
new_more,10000,0.012406399361834011,0.11144776173520789
new_more,10000,0.007899704360001156,0.11144776173520789
new_more,10000,0.016133591429267118,0.11144776173520789
new_more,10000,0.009092340359330152,0.11144776173520789
new_more,10000,0.01512299832245953,0.11144776173520789
new_more,10000,0.01027412678429437,0.11144776173520789
new_more,10000,0.015362781871669272,0.11144776173520789
new_more,10000,0.02520504812985543,0.11144776173520789
new_more,10000,0.015483181252851896,0.11144776173520789
new_more,10000,0.016560702129563072,0.11144776173520789
new_more,10000,0.01231548599497536,0.11144776173520789
new_more,10000,0.011851606797644475,0.11144776173520789
new_more,10000,0.0206168255932609,0.11144776173520789
new_more,10000,0.014036689738597128,0.11144776173520789
new_more,10000,0.01134758120871189,0.11144776173520789
new_more,10000,0.013608017389492669,0.11144776173520789
new_more,10000,0.011737608347841294,0.11144776173520789
new_more,10000,0.015575876993195025,0.11144776173520789
new_more,10000,0.016976420010181445,0.11144776173520789
new_more,10000,0.01628477418201364,0.11144776173520789
new_more,10000,0.016397997959236126,0.11144776173520789
new_more,10000,0.0079633873932298,0.11144776173520789
new_more,10000,0.00926237067732352,0.11144776173520789
new_more,10000,0.016523628605235277,0.11144776173520789
new_more,10000,0.01354238724499329,0.11144776173520789
new_more,10000,0.0103276474112454,0.11144776173520789
new_more,10000,0.0149439054970289,0.11144776173520789
new_more,10000,0.016761618414017108,0.11144776173520789
new_more,10000,0.021204461227904575,0.11144776173520789
new_more,10000,0.015626722597495903,0.11144776173520789
new_more,10000,0.011332354040318404,0.11144776173520789
new_more,10000,0.01577888862891382,0.11144776173520789
new_more,10000,0.013749053685429552,0.11144776173520789
new_more,10000,0.013234138229372683,0.11144776173520789
new_more,10000,0.01313975409479137,0.11144776173520789
new_more,10000,0.01718733611315747,0.11144776173520789
new_more,10000,0.018538910831279346,0.11144776173520789
new_more,10000,0.029341390952998953,0.11144776173520789
new_more,10000,0.019170294714811142,0.11144776173520789
new_more,10000,0.020466175569479293,0.11144776173520789
new_more,10000,0.014303313851231866,0.11144776173520789
new_more,10000,0.013915363046477,0.11144776173520789
new_more,10000,0.005592148873350102,0.11144776173520789
new_more,10000,0.0013774423704958174,0.11144776173520789
new_more,10000,0.009959119124041047,0.11144776173520789
new_more,10000,0.006250034528402507,0.11144776173520789
new_more,10000,0.006652157526074531,0.11144776173520789
new_more,10000,0.014385989945789188,0.11144776173520789
new_more,10000,0.011787770641079512,0.11144776173520789
new_more,10000,0.01241667169474451,0.11144776173520789
new_more,10000,0.017503016165730693,0.11144776173520789
new_more,10000,0.011363259811713397,0.11144776173520789
new_more,10000,0.015497043647975212,0.11144776173520789
new_more,10000,0.010018304889403105,0.11144776173520789
new_more,10000,0.014838695320715732,0.11144776173520789
new_more,10000,0.012102436763829326,0.11144776173520789
new_more,10000,0.015672703666047953,0.11144776173520789
new_more,10000,0.01255560277110922,0.11144776173520789
new_more,10000,0.011584661273499126,0.11144776173520789
new_more,10000,0.013454646221982365,0.11144776173520789
new_more,10000,0.019260449422364767,0.11144776173520789
new_more,10000,0.016693523388942755,0.11144776173520789
new_more,10000,0.028643785852464156,0.11144776173520789
new_more,10000,0.013426591259577327,0.11144776173520789
new_more,10000,0.029762518178239536,0.11144776173520789
new_more,10000,0.014012331663824422,0.11144776173520789
new_more,10000,0.02491258836567559,0.11144776173520789
new_more,10000,0.022916238598913823,0.11144776173520789
new_more,10000,0.02016028881476376,0.11144776173520789
new_more,10000,0.008417119574037317,0.11144776173520789
new_more,10000,0.008239628173159846,0.11144776173520789
new_more,10000,0.0047169087962269035,0.11144776173520789
new_more,10000,0.010145885550411632,0.11144776173520789
new_more,10000,0.0059683692380858395,0.11144776173520789
new_more,10000,0.0019718518185081087,0.11144776173520789
new_more,10000,0.007366517007751112,0.11144776173520789
new_more,10000,0.005062095704158739,0.11144776173520789
new_more,10000,0.00684533488663149,0.11144776173520789
new_more,10000,0.003834536144915475,0.11144776173520789
new_more,10000,0.005382349273349383,0.11144776173520789
new_more,10000,0.00962480685096225,0.11144776173520789
new_more,10000,0.0008472282963595232,0.11144776173520789
new_more,10000,0.0069040374171182506,0.11144776173520789
new_more,10000,0.010776818667201007,0.11144776173520789
new_more,10000,0.010966155441217013,0.11144776173520789
new_more,10000,0.021308043632688223,0.11144776173520789
new_more,10000,0.03602338057663583,0.11144776173520789
new_more,10000,0.01074173464714998,0.11144776173520789
new_more,10000,0.0018317961476487067,0.11144776173520789
new_more,10000,0.011156539288522654,0.11144776173520789
new_more,10000,0.010907448225491972,0.11144776173520789
new_more,10000,0.009830176999229872,0.11144776173520789
new_more,10000,0.008327702225132776,0.11144776173520789
new_more,10000,0.008215257773283826,0.11144776173520789
new_more,10000,0.017944032837193848,0.11144776173520789
new_more,10000,0.01258431820664656,0.11144776173520789
new_more,10000,0.006049407592288066,0.11144776173520789
