scenario,split,total_cost_eur,offshore_capacity_gw,line_volume_ac,line_volume_dc,transmission_capacity_gw,curtailment_mwh,curtailment_twh
base,1000,54297061083.519485,100.931,48.7585919314691,18.033628911844936,66.79222084331403,1178314.2892309467,1.1783142892309466
standard,1000,56391747179.75339,100.93100000000499,48.857601465051665,17.940000000009118,66.79760146506078,693363.5019336449,0.6933635019336448
glaum,1000,56010662056.688324,100.93100205630226,48.82377078490895,17.940001910591562,66.76377269550052,784940.8308792507,0.7849408308792507
new_more,1000,57149539455.04768,100.93100110556443,49.03271730701988,17.940001011723364,66.97271831874323,580241.1904430146,0.5802411904430146
base,10000,54820316917.13248,100.93100000000038,48.84631675095667,18.071180882022166,66.91749763297884,1400624.8660344277,1.4006248660344276
standard,10000,56879823542.52691,100.9310046080602,48.943928204253695,17.940012340284266,66.88394054453796,623436.9013454258,0.6234369013454257
glaum,10000,57607169738.06194,100.93100410191586,49.05046518066898,17.94000888378496,66.99047406445393,457786.5180253035,0.4577865180253035
new_more,10000,57575503289.429794,100.93100000012285,48.977466173462275,17.94000000011566,66.91746617357794,503121.90698622057,0.5031219069862206
base,100000,58840135196.12208,100.93100000000001,49.54844578066014,18.132807856069054,67.6812536367292,1635289.591813162,1.635289591813162
standard,100000,60840768583.579185,100.931,49.464963609148455,17.965050811239223,67.43001442038768,761308.8191424849,0.7613088191424849
glaum,100000,63126851351.26766,100.93100000001878,52.436019042520336,17.940000000066192,70.37601904258653,254980.09861296153,0.25498009861296156
new_more,100000,61452248355.164734,100.931,49.61077249329358,17.940000000010826,67.55077249330441,612731.9076082209,0.6127319076082209
