scenario,split,region,tech,available_cf,dispatch_cf,curtailment_cf
base,1000,BE2 0AC,offwind-dc,0.5955488012254254,0.5866112271923686,0.008937574033056839
base,1000,BE2 0AC,offwind-dc,0.5933939846571576,0.5799962746676576,0.013397709989500073
base,1000,DE2 0AC,offwind-dc,0.5722191564039367,0.572194207041592,2.494936234476164e-05
base,1000,DE2 0AC,offwind-dc,0.5810430788531005,0.5789495888157793,0.0020934900373211773
base,1000,DE2 0AC,offwind-dc,0.573374786150878,0.5732234318941295,0.00015135425674850378
base,1000,DE2 0AC,offwind-dc,0.5850728516361376,0.5850353212908305,3.753034530717958e-05
base,1000,DE2 0AC,offwind-dc,0.5769187155710038,0.574713879982043,0.002204835588960785
base,1000,DE2 0AC,offwind-dc,0.5786188126945155,0.5784971989519972,0.00012161374251828949
base,1000,DE2 0AC,offwind-dc,0.5820216357692428,0.5820024858899467,1.9149879296076477e-05
base,1000,DE2 0AC,offwind-dc,0.5798148269199155,0.5788479156023129,0.0009669113176026256
base,1000,DE2 0AC,offwind-dc,0.5814458102389004,0.5795236151857209,0.0019221950531794763
base,1000,DE2 0AC,offwind-dc,0.5820336100913186,0.5812204191607319,0.000813190930586738
base,1000,DE2 0AC,offwind-dc,0.5858186102128459,0.5858023383737151,1.627183913077701e-05
base,1000,DE2 0AC,offwind-dc,0.5844496455950542,0.5828025180551448,0.0016471275399093654
base,1000,DE2 0AC,offwind-dc,0.5874346583752407,0.587414993444779,1.9664930461682495e-05
base,1000,DE2 0AC,offwind-dc,0.5847858076078272,0.5832162362912463,0.0015695713165808645
base,1000,DE2 0AC,offwind-dc,0.5845286219432341,0.5841643825135323,0.0003642394297017626
base,1000,DE2 0AC,offwind-dc,0.587402743147438,0.5873884698523102,1.4273295127820163e-05
base,1000,DE2 0AC,offwind-dc,0.5859242763263022,0.5858988429411119,2.5433385190232194e-05
base,1000,DE2 0AC,offwind-dc,0.5880391958887125,0.5880117279534373,2.7467935275193867e-05
base,1000,DE2 0AC,offwind-dc,0.587351343418539,0.5873201175085357,3.1225910003263024e-05
base,1000,DE2 0AC,offwind-dc,0.5728227481448831,0.5591000500284763,0.013722698116406806
base,1000,DE2 0AC,offwind-dc,0.5871729992943144,0.5871147742085533,5.822508576114327e-05
base,1000,DE2 0AC,offwind-dc,0.5855136539366315,0.5854995709445416,1.4082992089825552e-05
base,1000,DE2 0AC,offwind-dc,0.5862575991314666,0.5862413305069585,1.626862450809785e-05
base,1000,DE2 0AC,offwind-dc,0.5869760868908882,0.5868979310205434,7.81558703447649e-05
base,1000,DE2 0AC,offwind-dc,0.58232887132851,0.58227229506455,5.6576263959939865e-05
base,1000,DE2 0AC,offwind-dc,0.5872692927080558,0.5870484307377376,0.0002208619703182313
base,1000,DE2 0AC,offwind-dc,0.5752525005402409,0.5690442482090116,0.006208252331229347
base,1000,DE2 0AC,offwind-dc,0.5826474613233975,0.5805279805026414,0.002119480820756081
base,1000,DE2 0AC,offwind-dc,0.585291890659692,0.5851348582444197,0.00015703241527231793
base,1000,DE2 0AC,offwind-dc,0.5697009290023957,0.5594455915535592,0.010255337448836443
base,1000,DE2 0AC,offwind-dc,0.5814097046153559,0.5785112579886975,0.002898446626658391
base,1000,DE2 0AC,offwind-dc,0.5838457081754201,0.5837781937390927,6.75144363274649e-05
base,1000,DK2 0AC,offwind-dc,0.5796035493911063,0.534760018507588,0.04484353088351822
base,1000,DK2 0AC,offwind-dc,0.5758352993891684,0.5304139616543135,0.045421337734854905
base,1000,DK2 0AC,offwind-dc,0.5872703238703599,0.550482421094164,0.036787902776195924
base,1000,DK2 0AC,offwind-dc,0.5829059702828963,0.5405184140062914,0.04238755627660484
base,1000,DK2 0AC,offwind-dc,0.5779301809650089,0.5316608095498185,0.046269371415190386
base,1000,DK2 0AC,offwind-dc,0.5810263353131989,0.5343606862803182,0.04666564903288073
base,1000,DK2 0AC,offwind-dc,0.5826564882100786,0.53910240323422,0.043554084975858665
base,1000,DK2 0AC,offwind-dc,0.5907122228238264,0.5548518674088939,0.03586035541493249
base,1000,DK2 0AC,offwind-dc,0.5906253756083756,0.5483295144415135,0.042295861166862125
base,1000,DK2 0AC,offwind-dc,0.5826189936903162,0.5353657855076891,0.04725320818262713
base,1000,DK2 0AC,offwind-dc,0.5976337781107902,0.569653128084419,0.02798065002637118
base,1000,DK2 0AC,offwind-dc,0.5915357125259548,0.5457525544896533,0.04578315803630151
base,1000,DK2 0AC,offwind-dc,0.5857602257792471,0.5424982212775933,0.04326200450165385
base,1000,DK2 0AC,offwind-dc,0.5927347896593016,0.5558181983794949,0.03691659127980673
base,1000,DK2 0AC,offwind-dc,0.6008028243980306,0.5741126939083357,0.02669013048969482
base,1000,DK2 0AC,offwind-dc,0.5920030715980208,0.5513349539734268,0.04066811762459399
base,1000,DK2 0AC,offwind-dc,0.5864068863065673,0.5416796983686367,0.044727187937930624
base,1000,DK2 0AC,offwind-dc,0.5886794893957673,0.5449933092841482,0.043686180111619066
base,1000,DK2 0AC,offwind-dc,0.5964205277855469,0.5601466426997874,0.03627388508575946
base,1000,DK2 0AC,offwind-dc,0.6069357515028329,0.5872056434048163,0.019730108098016563
base,1000,DK2 0AC,offwind-dc,0.5912173376059112,0.5461281781328684,0.04508915947304282
base,1000,DK2 0AC,offwind-dc,0.6023225039241342,0.5730788692117027,0.02924363471243152
base,1000,DK2 0AC,offwind-dc,0.6194779968523216,0.6192983808597723,0.00017961599254934235
base,1000,DK2 0AC,offwind-dc,0.6117321403130951,0.5985523134644224,0.013179826848672693
base,1000,DK2 0AC,offwind-dc,0.5950022982257376,0.5542080945516012,0.04079420367413633
base,1000,DK2 0AC,offwind-dc,0.6025572603816115,0.5711135020024756,0.03144375837913593
base,1000,DK2 0AC,offwind-dc,0.6077558467793617,0.5887479884192243,0.01900785836013741
base,1000,DK2 0AC,offwind-dc,0.6210589543403593,0.6209164169080772,0.00014253743228209714
base,1000,DK2 0AC,offwind-dc,0.5944490960241655,0.5552093753857076,0.03923972063845793
base,1000,DK2 0AC,offwind-dc,0.5993642740827988,0.5667351340779181,0.03262914000488071
base,1000,DK2 0AC,offwind-dc,0.59322712284759,0.5530042749316623,0.040222847915927784
base,1000,DK2 0AC,offwind-dc,0.6209476578844509,0.620703919883766,0.00024373800068488993
base,1000,DK2 0AC,offwind-dc,0.6081642101333484,0.5917183365264729,0.01644587360687555
base,1000,DK2 0AC,offwind-dc,0.6148078353293943,0.6139072160841721,0.0009006192452222228
base,1000,DK2 0AC,offwind-dc,0.5931201695260095,0.5908268511642069,0.0022933183618026876
base,1000,FR2 0AC,offwind-dc,0.5854885167107456,0.5854885167107405,5.10702591327572e-15
base,1000,FR2 0AC,offwind-dc,0.5702011876076012,0.5615589198340197,0.008642267773581458
base,1000,GB1 0AC,offwind-dc,0.54290345785625,0.5270889205247372,0.015814537331512835
base,1000,GB1 0AC,offwind-dc,0.5606942973085299,0.5450431065265248,0.015651190782005164
base,1000,GB1 0AC,offwind-dc,0.5573521167162842,0.5394068681096628,0.01794524860662139
base,1000,GB1 0AC,offwind-dc,0.5721213175190772,0.5565544927772916,0.015566824741785612
base,1000,GB1 0AC,offwind-dc,0.5645787443407395,0.48137466696215564,0.08320407737858387
base,1000,GB1 0AC,offwind-dc,0.5674629941117042,0.4875196963528935,0.0799432977588107
base,1000,GB1 0AC,offwind-dc,0.5672873388266216,0.48371061144530403,0.0835767273813176
