scenario,split,region,tech,available_cf,dispatch_cf,curtailment_cf
glaum,100000,NO0 0AC,offwind-float,0.3781620077872838,0.3099575302020459,0.0682044775852379
glaum,100000,NO0 0AC,offwind-float,0.5281467581196904,0.5281467581176528,2.03759231709455e-12
glaum,100000,NO0 0AC,offwind-float,0.4605387144460057,0.42374104452771205,0.03679766991829364
glaum,100000,NO0 0AC,offwind-float,0.3965039482330826,0.3355218404519072,0.06098210778117541
glaum,100000,DE2 0AC,offwind-dc,0.5288555770955697,0.5286611131045138,0.0001944639910559376
glaum,100000,DE2 0AC,offwind-dc,0.4611699139398877,0.46110532647604174,6.458746384596648e-05
glaum,100000,DE2 0AC,offwind-dc,0.39704154589049667,0.39698670639327177,5.483949722490111e-05
glaum,100000,DK2 0AC,offwind-dc,0.5395665008203503,0.5349954971854144,0.0045710036349358996
glaum,100000,DK2 0AC,offwind-dc,0.470510004346058,0.46905352055120336,0.001456483794854635
glaum,100000,DK2 0AC,offwind-dc,0.40507682949827545,0.33156866371876387,0.07350816577951158
glaum,100000,GB1 0AC,offwind-dc,0.523794905992199,0.5137564005347905,0.010038505457408475
glaum,100000,GB1 0AC,offwind-dc,0.4567631957286781,0.45289436131973887,0.0038688344089392035
glaum,100000,GB1 0AC,offwind-dc,0.3932535781324722,0.39144982283575097,0.0018037552967212211
glaum,100000,NL2 0AC,offwind-dc,0.5244445902608732,0.5221687162385623,0.0022758740223108864
glaum,100000,NL2 0AC,offwind-dc,0.4573237404857261,0.4565481513664474,0.000775589119278719
glaum,100000,NL2 0AC,offwind-dc,0.39370944474656483,0.39270554560508086,0.001003899141483966
new_more,100000,NL2 0AC,offwind-float,0.40221663860715084,0.2839004373489636,0.11831620125818726
new_more,100000,BE2 0AC,offwind-dc,0.5276606530786894,0.5275408731536002,0.00011977992508915847
new_more,100000,BE2 0AC,offwind-dc,0.5025815181541554,0.5025456692608435,3.584889331187391e-05
new_more,100000,FR2 0AC,offwind-dc,0.5176490969871561,0.5176490969808698,6.286304810032561e-12
new_more,100000,FR2 0AC,offwind-dc,0.4930458003965196,0.493045800394153,2.3665513992909837e-12
new_more,100000,NO0 0AC,offwind-float,0.5042802823861401,0.5042802823856976,4.425348976155874e-13
new_more,100000,NO0 0AC,offwind-float,0.48030582916725795,0.4649159435199743,0.015389885647283663
new_more,100000,DE2 0AC,offwind-dc,0.518670868374268,0.5184465113942823,0.00022435697998568482
new_more,100000,DE2 0AC,offwind-dc,0.4940122352212863,0.49398315444869534,2.908077259095032e-05
new_more,100000,DE2 0AC,offwind-dc,0.48894227256070943,0.4821037067849747,0.006838565775734717
new_more,100000,DK2 0AC,offwind-dc,0.5291755209675761,0.5254258244971336,0.003749696470442543
new_more,100000,DK2 0AC,offwind-dc,0.5040243860256893,0.5027314421844081,0.0012929438412812022
new_more,100000,DK2 0AC,offwind-dc,0.4988448375179513,0.47032304732613217,0.028521790191819107
new_more,100000,GB1 0AC,offwind-dc,0.5137076557517272,0.4741922602520699,0.03951539549965727
new_more,100000,GB1 0AC,offwind-dc,0.48929169156111646,0.4779702567920116,0.011321434769104854
new_more,100000,GB1 0AC,offwind-dc,0.4842701750287695,0.423932239205908,0.06033793582286151
new_more,100000,NO0 0AC,offwind-float,0.517975699844972,0.5179756998448145,1.5754064719430971e-13
new_more,100000,NO0 0AC,offwind-float,0.49335035615270506,0.4917966800172946,0.0015536761354104645
new_more,100000,NO0 0AC,offwind-float,0.48828718624324696,0.4809007978877628,0.007386388355484164
new_more,100000,GB4 0AC,offwind-ac,0.5332057748472533,0.4900858907018076,0.04311988414544571
new_more,100000,GB4 0AC,offwind-ac,0.5078564599693853,0.4678913037784641,0.039965156190921225
new_more,100000,GB4 0AC,offwind-ac,0.5026444164097269,0.4627809410966843,0.03986347531304263
new_more,100000,NL2 0AC,offwind-dc,0.5143380833688814,0.5128924634033667,0.0014456199655147328
new_more,100000,NL2 0AC,offwind-dc,0.48989215564170896,0.4894239547091517,0.00046820093255728334
new_more,100000,NL2 0AC,offwind-dc,0.484864476649709,0.47003060803402125,0.01483386861568775
new_more,100000,NL2 0AC,offwind-dc,0.4789232802850745,0.4586765053797817,0.020246774905292808
new_more,100000,GB1 0AC,offwind-float,0.5063347420003501,0.38549700500405887,0.12083773699629125
new_more,100000,GB1 0AC,offwind-float,0.48226920435316056,0.35604732596725536,0.1262218783859052
new_more,100000,GB1 0AC,offwind-float,0.47731975840002255,0.3514097209333002,0.12591003746672236
new_more,100000,GB1 0AC,offwind-float,0.47147100983223833,0.3469847632603417,0.12448624657189661
new_more,100000,GB1 0AC,offwind-float,0.5048309646584658,0.3730457127285213,0.1317852519299445
new_more,100000,GB1 0AC,offwind-float,0.48083689990703526,0.3460632199218532,0.13477367998518208
new_more,100000,GB1 0AC,offwind-float,0.47590215344824716,0.34013485705052493,0.13576729639772223
new_more,100000,GB1 0AC,offwind-float,0.4700707752381435,0.3339922503185773,0.13607852491956618
new_more,100000,GB1 0AC,offwind-float,0.46346294629636586,0.3286626749217424,0.13480027137462347
new_more,100000,GB4 0AC,offwind-float,0.5124105357993934,0.40710414365809683,0.10530639214129661
new_more,100000,GB4 0AC,offwind-float,0.4880495794987353,0.3724353403039789,0.11561423919475639
new_more,100000,GB4 0AC,offwind-float,0.48303401453790473,0.3686622865613829,0.11437172797652184
new_more,100000,GB4 0AC,offwind-float,0.47710843877215686,0.3681061805537051,0.10900225821845178
new_more,100000,GB4 0AC,offwind-float,0.4704016807345235,0.36028543873990876,0.11011624199461473
new_more,100000,NO0 0AC,offwind-float,0.49402623221903136,0.4940262322183511,6.802336471878334e-13
new_more,100000,NO0 0AC,offwind-float,0.47054570460759987,0.4454315946945843,0.025114109913015548
new_more,100000,NO0 0AC,offwind-float,0.46570979294979803,0.4373495975328993,0.028360195416898715
new_more,100000,NO0 0AC,offwind-float,0.46000330492665714,0.4267740601250321,0.033229244801625035
new_more,100000,NO0 0AC,offwind-float,0.4535369953585548,0.4172208684921414,0.03631612686641339
new_more,100000,GB4 0AC,offwind-float,0.5268476348330038,0.46900844525513635,0.057839189577867434
new_more,100000,GB4 0AC,offwind-float,0.5017871437472434,0.3977293452603504,0.104057798486893
new_more,100000,GB4 0AC,offwind-float,0.496637388536795,0.3920360138307755,0.10460137470601949
new_more,100000,GB4 0AC,offwind-float,0.49054510440229615,0.38377670050298723,0.10676840389930892
new_more,100000,GB4 0AC,offwind-float,0.4836494658966378,0.37687211215425703,0.10677735374238079
new_more,100000,GB4 0AC,offwind-float,0.47655911173302656,0.3650976520092487,0.11146145972377786
base,10000,BE2 0AC,offwind-dc,0.5938659701081414,0.5938659138146651,5.6293476213831184e-08
base,10000,DE2 0AC,offwind-dc,0.5750894035039559,0.5750548651660189,3.4538337936984576e-05
base,10000,DE2 0AC,offwind-dc,0.5852654069377163,0.5852435593978329,2.184753988343502e-05
base,10000,DE2 0AC,offwind-dc,0.5860356766691872,0.5860239309729605,1.1745696226750368e-05
base,10000,DE2 0AC,offwind-dc,0.5824955854828834,0.5765346704541716,0.005960915028711766
base,10000,DE2 0AC,offwind-dc,0.5830362665032953,0.582968706930179,6.755957311632699e-05
base,10000,DK2 0AC,offwind-dc,0.5766713913172594,0.5256670513795217,0.051004339937737675
base,10000,DK2 0AC,offwind-dc,0.5973832435649071,0.5550976350940872,0.04228560847081997
base,10000,DK2 0AC,offwind-dc,0.5993610480080669,0.5596006687009978,0.039760379307069105
base,10000,DK2 0AC,offwind-dc,0.5861886454340228,0.5361786840640885,0.0500099613699343
base,10000,DK2 0AC,offwind-dc,0.6159454777181317,0.6158383168955871,0.00010716082254458303
base,10000,FR2 0AC,offwind-dc,0.5826198774371905,0.5826196209173629,2.565198276016645e-07
base,10000,GB1 0AC,offwind-dc,0.5705858876633499,0.47960177446080426,0.09098411320254568
base,10000,GB1 0AC,offwind-dc,0.5766226365259505,0.557158596126489,0.01946404039946148
base,10000,GB1 0AC,offwind-dc,0.574742177181291,0.47792125251202,0.09682092466927095
base,10000,GB1 0AC,offwind-dc,0.5768789775288696,0.48140412290867324,0.09547485462019639
base,10000,GB1 0AC,offwind-dc,0.5916413947016185,0.5544597672729878,0.037181627428630626
base,10000,GB1 0AC,offwind-dc,0.5849435125214808,0.5643525926424467,0.020590919879034053
base,10000,NL2 0AC,offwind-dc,0.5788406769658262,0.5720014851539906,0.0068391918118355655
base,10000,NL2 0AC,offwind-dc,0.5920627637526019,0.5916591008539099,0.000403662898691981
base,10000,NL2 0AC,offwind-dc,0.5711601038909637,0.5656593672850815,0.005500736605882239
base,10000,NL2 0AC,offwind-dc,0.5835893098981904,0.5833712532218586,0.00021805667633179038
base,10000,NL2 0AC,offwind-dc,0.5762680237060356,0.5662088566503122,0.010059167055723406
base,10000,NL2 0AC,offwind-dc,0.5854210468302173,0.585175610661978,0.00024543616823935466
base,10000,NL2 0AC,offwind-dc,0.581939804579731,0.56977683312258,0.012162971457151062
base,10000,NO0 0AC,offwind-dc,0.6069880219815647,0.606987991112126,3.0869438671921046e-08
base,10000,DE2 0AC,offwind-ac,0.5345326571230481,0.5343821162716318,0.00015054085141630313
base,10000,DK2 0AC,offwind-ac,0.5751322334041827,0.5745498070877245,0.0005824263164582177
base,10000,DK2 0AC,offwind-ac,0.48700381091881667,0.42956909151960926,0.05743471939920741
base,10000,DK2 0AC,offwind-ac,0.5298244737090079,0.5072844550157997,0.022540018693208208
base,10000,DK2 0AC,offwind-ac,0.5419684756059299,0.5160457330682503,0.025922742537679566
base,10000,GB1 0AC,offwind-ac,0.48904658302344817,0.4675073452849756,0.02153923773847255
base,10000,GB1 0AC,offwind-ac,0.4666906156340824,0.4436436198398705,0.023046995794211877
