scenario,split,total_cost_eur,offshore_capacity_gw,line_volume_ac,line_volume_dc,transmission_capacity_gw,curtailment_mwh,curtailment_twh
base,1000000,715807966484.123,103.29625147407764,517.5349750779005,200109.73990011966,200627.27487519756,1187727.172179951,1.1877271721799512
new_more,1000000,719509700501.3987,42.74003375227406,491.04089397843205,200254.67292542738,200745.71381940582,482959.7797089784,0.4829597797089784
base,100000,715539717844.6632,121.51382062310698,516.8596820227957,200062.9962987314,200579.8559807542,1813806.7213952502,1.8138067213952502
new_more,100000,719476313020.0194,43.06755479653728,490.87982110527327,200241.40599670523,200732.2858178105,584189.5784488366,0.5841895784488366
base,10000,714090074308.8356,146.19007243225005,519.0273859910367,200045.30104141153,200564.32842740256,2976021.9853253528,2.9760219853253527
new_more,10000,719342761152.878,41.317169427702,492.3876921910677,200216.57519469294,200708.962886884,759090.8804030134,0.7590908804030134
