scenario,split_km2,offshore_capacity_gw,n_offshore_buses,total_cost_beur,mean_wake_loss
base,1000000,103.29625147407764,25,715.8079664841231,0.0
base,100000,121.51382062310698,25,715.5397178446632,0.0
base,10000,146.19007243225005,25,714.0900743088356,0.0
new_more,1000000,42.74003375227406,25,719.5097005013987,0.1486883523030206
new_more,100000,43.06755479653728,25,719.4763130200195,0.14832755605880024
new_more,10000,41.317169427702,25,719.3427611528781,0.15070012576593456
